Title,Course Price,Subscribers,Reviews Left,Percent of Reviews,Length of Course
"React.js: Building Production Ready Apps, Start to Finish",50,1129,137,0.12,17.5
Learn Object Oriented Programming PHP fundamentals bootcamp,100,22213,142,0.01,1.0
Javascript Intermediate level 2 - Mastering Functions,100,2412,116,0.05,2.5
1 Hour CSS,100,18324,333,0.02,1.0
"Become a Full Stack Developer with Spring, AWS and Stripe",75,1696,193,0.11,10.0
Complete JQuery And JQuery UI Course For Beginner,80,7169,277,0.04,1.0
Learn JavaScript for Web Development,75,12893,220,0.02,8.5
"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",195,4708,111,0.02,2.5
Complete Wordpress Theme Development Course,150,1050,223,0.21,6.5
How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,125,7852,46,0.01,3.5
Build A Web App With Spring Framework and Angular 2,145,1683,340,0.2,8.0
Projects in Laravel: Learn Laravel Building 10 Projects,50,119,6,0.05,10.5
Javascript Intermediate level 3 - JSON,100,1735,76,0.04,2.5
Develop Your First App in an Hour,20,3699,201,0.05,1.0
PHP: Ultimate guide to PHP for everyone,115,10103,75,0.01,1.5
JavaScript DOM Dynamic Web interactive content Boot Camp,75,7380,43,0.01,2.5
"Master JavaScript Programming, 3 Projects Included !!",20,3903,53,0.01,10.5
HTML CSS Learn to create a website from scratch,50,4892,49,0.01,2.0
Complete Codeigniter: From Beginner to Advanced,200,2786,31,0.01,3.0
HTML 5: How I made websites in HTML5,135,15064,237,0.02,1.5
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",95,22623,783,0.03,8.0
Complete React JS web developer with ES6 - Build 10 projects,200,952,121,0.13,12.0
Complete WordPress Theme Developer Course With Bootstrap,150,3415,312,0.09,25.0
The Complete Ethical Hacking Course 2.0: Python & Kali Linux,195,7827,268,0.03,11.0
Dynamic JavaScript Master Class AJAX JSON Simple APIs,200,9773,117,0.01,4.5
Vue JS - Mastering Web Apps,80,13457,215,0.02,4.5
Angular NgRx Store Masterclass - Covers Angular 4,150,1399,212,0.15,8.5
JavaScript the Basics - JavaScript for Beginners,120,4028,674,0.17,9.0
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",195,1371,165,0.12,20.0
"Learn SVG Animation - With HTML, CSS & Javascript",65,12953,680,0.05,1.5
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",20,5125,395,0.08,7.0
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,0.01,4.0
CSS Development (with CSS3!),20,25864,188,0.01,5.0
Angular 2 & TypeScript Beginner Web Development,200,5211,414,0.08,19.5
The Docker for DevOps course: From development to production,25,8234,1111,0.13,7.5
"Beginner Full Stack Web Development: HTML, CSS, React & Node",200,2687,331,0.12,25.5
Learn Angular 2 Development By Building 12 Apps,50,5143,941,0.18,12.0
"Server API Development in Swift, Kitura, & Bluemix",200,1827,129,0.07,20.5
React VR - Creating Virtual Reality Apps,80,5026,72,0.01,3.0
RxJs & Reactive Programming Angular Masterclass - Angular 4,150,1301,179,0.14,7.5
"Coding for Entrepreneurs: Learn Python, Django, and More.",195,23412,799,0.03,45.0
React and Flux Web Development for Beginners,100,8691,836,0.1,11.0
The Full Stack Web Development,60,3119,453,0.15,33.0
Learn Nodejs by building 12 projects,50,10150,997,0.1,16.0
How to Make an Online Portfolio Website from Scratch ,Free,14026,232,0.02,1.0
How To Make A Web Page With No Code,Free,2214,20,0.01,2.0
Spring Framework 4 And Dependency Injection For Beginners,Free,21147,1220,0.06,1.5
Joomla 3 - The Basics,Free,19909,411,0.02,3.0
jQuery in Action: Build 8 jQuery Projects,100,1385,89,0.06,11.0
Master WordPress Plugins: Shortcodes Ultimate - The Basics,Free,10780,110,0.01,1.0
ASP.NET C# - Enterprise Web Systems From Novice to Expert,20,604,8,0.01,3.5
Wordpress - Create an Outstanding Website in 2 hours,30,1772,13,0.01,2.5
Complete Website & CMS in PHP & MySQL From Scratch!,20,3357,82,0.02,12.5
The Complete Web Development Tutorial Using React and Redux,40,796,43,0.05,4.0
Create and Deploy a Web App in 3 Hours,50,4123,23,0.01,3.5
HTML & CSS From Scratch in 30 Days,75,2697,64,0.02,11.5
Getting Started with Craft CMS,20,997,31,0.03,2.0
JavaScript For Absolute Beginners - Level One,65,713,80,0.11,1.5
Effective Personal Website Building and Hosting,20,4259,0,0.0,1.0
Web Design for Web Developers: Build Beautiful Websites!,Free,98867,6512,0.07,3.0
"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",200,1849,21,0.01,3.0
Getting Started with NodeJS for Beginners,195,1645,75,0.05,1.0
Quickstart AngularJS,Free,64128,4047,0.06,1.5
Byte-Sized-Chunks: Cascading Style Sheets (CSS) with HTML,20,2160,16,0.01,4.0
Learn Building Your Own Website Without Coding,50,7660,7,0.0,2.0
Practical Guide to Web Development,20,2025,16,0.01,2.0
The Complete HTML5 and CSS3 Course,40,1548,30,0.02,15.0
HTML & CSS for beginners: Build 3 projects from scratch,40,2472,139,0.06,4.0
Code a 'Coming Soon' Landing Page in Bootstrap 4,Free,13535,473,0.03,1.5
Introduction to Bootstrap 3,20,5795,79,0.01,2.5
Master ExpressJS to Build Web Apps with NodeJS&JavaScript,50,2643,56,0.02,3.5
Learn XML Crash Course: Discover Essential XML Fundamentals ,50,3704,111,0.03,2.0
HTML5 CSS3 JQUERY Single Page Website Project from Scratch,120,1678,34,0.02,2.5
Scrape Websites using PhantomJS and CasperJS,195,960,110,0.11,2.0
Amazon s3 Mastery - THE How-To' Guides For Amazon S3,95,1811,118,0.07,3.5
HTML and CSS Crash Course for Beginners,50,4123,46,0.01,4.5
EMMET Faster HTML & CSS workflow - Best Tool For Developers ,Free,26697,1097,0.04,1.0
Introduction to Web Development,50,5921,35,0.01,4.5
AngularJS For ASP.NET MVC Developers,50,3011,57,0.02,1.0
Serverless Workflow Management with AWS Step Functions,Free,8768,173,0.02,1.0
How to set up a Web Server From Scratch to One Fully Managed,200,1673,31,0.02,3.0
The Complete PHP MySQL Professional Course with 5 Projects,200,16158,159,0.01,19.5
Angular Masterclass,150,4057,359,0.09,6.5
Become a Professional Web Developer | Version 3.0,200,6851,276,0.04,60.0
Build Incredible Chatbots,100,2234,253,0.11,11.5
Try Django 1.10 | Create a URL Shortening Service,50,9607,78,0.01,5.5
Projects in CSS,60,4689,216,0.05,10.0
Ruby on Rails: Training and Skills to Build Web Applications,95,9375,219,0.02,7.0
Learn and Understand React,30,4848,105,0.02,16.5
Learn Javascript & JQuery From Scratch,30,84897,2685,0.03,2.0
Learn to use JSON,150,12838,96,0.01,1.5
The Ultimate Web Developer How To Guide,200,24861,423,0.02,22.5
"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",20,9762,94,0.01,13.5
jQuery Crash Course: Learn the Essentials of jQuery Fast,50,11262,142,0.01,2.0
Drupal Tutorial : Drupal 8 Beginner to Expert in 8 PROJECTS,200,1270,16,0.01,7.0
The Complete PHP CodeIgniter Course: Beginner To Advanced,195,17895,212,0.01,4.0
JavaScript For Beginners : Learn JavaScript From Scratch,195,11285,102,0.01,5.5
"Mastering 'Native CSS Shapes To Build Modern Web Pages""",195,1040,5,0.0,3.5
WordPress Development For Beginners,95,23572,210,0.01,2.0
WordPress local server setup and site migration online,55,3801,43,0.01,1.0
PHP Fundamentals - Start Earning The Top Dollars You Deserve,195,12068,81,0.01,1.5
Interactive Dynamic JavaScript for beginners DOM,200,5559,35,0.01,2.0
Javascript Intermediate level 1 - Mastering the DOM,100,1838,169,0.09,3.0
Sublime Text for Rapid Web Development,20,2104,69,0.03,1.0
Servlets and JSPs Tutorial: Learn Web Applications With Java,35,15187,970,0.06,10.0
Projects in PHP and MySQL,60,10606,570,0.05,23.0
PHP OOP: Object Oriented Programming for beginners + Project,200,6497,901,0.14,18.0
React Redux React-Router: From Beginner to Paid Professional,20,11536,876,0.08,6.5
Django Core | A Reference Guide to Core Django Concepts,195,16282,303,0.02,18.5
"Angular 2 Complete E-Commerce App Course - Java,Spring,MySQL",195,949,129,0.14,20.5
"Build An Online Bank With Java, Angular 2, Spring and More",195,1995,286,0.14,6.5
The Complete jQuery Course: From Beginner To Advanced!,195,6636,302,0.05,6.0
Projects in AngularJS - Learn by building 10 Projects,40,7146,629,0.09,14.5
The Ultimate Vue JS 2 Developers Course,195,1703,292,0.17,13.0
React JS - Build real world JS apps & deploy on cloud,175,12815,262,0.02,8.5
Angular 4 Front To Back,40,44,0,0.0,8.5
"Modern Web Development with SASS, Gulp, NPM & Web Workflows",95,502,62,0.12,5.0
"HTML5, CSS3 And JavaScript Fundamentals 2016",115,627,125,0.2,1.0
"Angular 4 - Concepts, Code and Collective Wisdom",50,851,164,0.19,4.5
Learn E-Commerce Website in PHP & MySQL From Scratch!,Free,29990,1342,0.04,17.5
JavaScript Game Development: Create Your Own Breakout Game,Free,10179,314,0.03,1.5
HTML and HTML5 For Beginners 2016,200,563,178,0.32,3.0
A Very Complete Introduction To Laravel,20,2320,114,0.05,6.0
"Learn to code, Become a Web Developer and Master JavaScript!",200,2353,47,0.02,10.0
Serverless Architecture on Amazon Web Services,Free,13210,978,0.07,33.0
jQuery Essentials: Learn the Fundamental of jQuery,20,1004,43,0.04,3.5
Expert Guide : Mastering Functions in JavaScript !,195,3015,30,0.01,2.5
Learn Angular 4 from Scratch,Free,8693,522,0.06,1.5
Discover HTML Essential guide to HTML how to create webpages,85,8711,44,0.01,1.5
HTML5 and CSS3 for beginners: Create a Website from Scratch,200,9945,101,0.01,2.0
Introduction to Web Development,20,18143,159,0.01,2.0
jQuery Fundamentals Powerful Bootcamp for beginners,150,13882,63,0.0,3.0
The Complete HTML & CSS Course - From Novice To Professional,195,57422,874,0.02,7.5
JavaScript Basics Web Development Building Blocks,95,10179,68,0.01,1.5
Bootstrap unleash the power faster & easier web development,150,18101,88,0.0,5.5
JavaScript Design Patterns: 20 Patterns for Expert Code,95,2789,243,0.09,3.5
Fix Google's New 'Not Secure' Warning with Let's Encrypt!,95,1437,24,0.02,1.0
JavaScript for Beginners Welcome to learning JavaScript,50,10864,63,0.01,2.0
Benefits of Thinking Mobile First Future of Website Design,75,14254,27,0.0,1.5
Javascript from Beginner to Advanced Level,195,6134,160,0.03,6.5
AJAX Development,20,7867,147,0.02,3.0
Interaction Design Specialist For Web Developers,95,8594,37,0.0,2.0
PHP Security,50,1892,147,0.08,2.5
The Bubble Course - Create Complete Web Apps without Coding,30,3960,220,0.06,4.5
The Complete HTML5 & CSS3 Course Build Professional Websites,195,10518,129,0.01,4.5
CSS Web Development Crash Course,20,10008,53,0.01,2.5
Mastering DevOps,100,1023,118,0.12,6.0
Building Websites Create a fully functional Web contact form,200,3392,29,0.01,1.5
Create a Dynamic User Registration Form from scratch,100,7213,50,0.01,3.0
A 13 Hour SQL Server 2014 /ASP.NET/CSS/C#/jQuery Course,35,4183,231,0.06,14.0
HTML Workshop,20,25854,306,0.01,2.0
Python for Beginners: Python Programming Language | Tutorial,150,6153,125,0.02,5.0
Creating Animations using HTML5 Canvas,25,4010,17,0.0,1.0
Bootstrap 4: Exploring New Features,75,5022,38,0.01,1.0
Bootstrap 3 -> Profitable WordPress Theme Development!,40,5547,80,0.01,3.5
Intro to Git,20,2532,291,0.11,1.0
WordPress Domination #2: Leads & Scarcity,95,2362,4,0.0,1.0
Learn How to Manage & Customize  Web Sites By Drupal CMS,140,7741,9,0.0,2.5
Using Modern JavaScript Today,50,1658,185,0.11,16.5
Up and Running with jQuery,Free,3324,138,0.04,5.0
Learn How To Build A Professional Web Site By Using Joomla,70,7184,22,0.0,4.0
Power up HTML5 with JavaScript,100,4442,23,0.01,2.0
Node Package Manager Course: Build and Publish NPM Modules,30,7196,8,0.0,6.5
WordPress Look and Feel with Themes,25,2371,10,0.0,1.0
PHP with Laravel for beginners - Become a Master in Laravel,150,8496,1838,0.22,29.5
JavaScript 2017: Become Top Rated Web Developer,115,1346,330,0.25,3.0
The Complete Web Developer Bootcamp - Beginner to Expert,190,14103,1548,0.11,21.5
Full-Stack Web Apps with Meteor and React,85,3295,531,0.16,31.5
Angular 4: From Theory to Practice & FREE E-Book,200,4375,622,0.14,15.5
The Complete Sass & SCSS Course: From Beginner to Advanced,195,12021,660,0.05,4.0
Become a Certified Web Developer,100,26673,1090,0.04,12.0
Become a Web Developer from Scratch,120,69186,2408,0.03,27.5
Ultimate Angular 4 (previously Angular 2) with Bootstrap 4,50,11384,1846,0.16,5.5
The Ultimate Beginner's Guide to Django,200,2390,497,0.21,9.0
React JS - Mastering Redux,100,7059,116,0.02,5.0
Professional Ruby on Rails Developer with Rails 5,200,3179,214,0.07,20.5
"Ruby on Rails 5 - BDD, RSpec and Capybara",200,1870,193,0.1,14.5
Back to School Web Development and Programming Bundle,200,18170,117,0.01,44.5
Complete ASP NET MVC Web Development - Newbie to Ninja!,195,6073,627,0.1,9.0
The Complete DevOps Engineer Course 2.0 - Java & Kubernetes,195,5335,105,0.02,14.0
All about NodeJS,50,8755,931,0.11,15.5
How To Create A Wordpress Website 2016 | NEW Divi Theme 3.0!,40,4144,383,0.09,5.5
The Complete jQuery Course - From Beginner to Professional!,200,6420,134,0.02,22.5
Build a complete Fiverr clone with Node + Algolia + Paypal,30,1741,26,0.01,9.0
The Ultimate Web Development Course,50,9881,329,0.03,12.0
React From The Ground Up,150,3252,401,0.12,12.5
Javascript for Beginners Learn by Doing Practical Exercises,100,5089,685,0.13,3.5
8 Beautiful Ruby on Rails Apps in 30 Days & TDD - Immersive ,100,5962,466,0.08,16.0
Wordpress Website Mastery 2017,Free,5181,64,0.01,2.5
How To Make an eCommerce Website With Wordpress 2017,Free,3493,43,0.01,4.5
Mastering ASP.NET MVC 5 From Scratch Using C#,50,417,65,0.16,13.0
Start Web Development with GIS Map in JavaScript,60,1599,26,0.02,3.0
Learn to Build Websites using Twitter Bootstrap,Free,15134,523,0.03,2.5
Web Development Tools the Pros Use: Code Productivity Hacks,30,2596,11,0.0,4.0
WordPress : An Overview,45,1783,16,0.01,36.0
Create Startup Landing Page with Viral Marketing Strategies,Free,12974,120,0.01,1.0
JavaScript : JavaScript Awesomeness,25,785,20,0.03,1.0
Mastering CSS 3.0 Selectors,Free,4115,63,0.02,2.0
WordPress Backup And Restore Fundamentals,Free,13242,131,0.01,1.0
Learn HTML and CSS to make a Website,20,1154,12,0.01,6.0
1 Hour HTML,200,16212,514,0.03,1.0
Angular 2 Crash Course with TypeScript,100,16409,589,0.04,4.0
Boost your website speed without any coding!,50,1337,28,0.02,1.0
Professional Rails Code Along,40,1469,237,0.16,19.0
ASP.NET Web API 2 Hands-On,20,2660,276,0.1,1.5
Create a MEAN App by Example - Full Stack Course,50,421,26,0.06,3.5
The Original Complete Web Developer Course.,20,31070,742,0.02,18.0
Angular 2 From The Ground Up,30,1737,471,0.27,11.5
Complete Web Development Course + Building 5 Websites!,200,11492,174,0.02,24.5
WP Plugin Development - Build your own plugin!,200,5439,22,0.0,4.0
Sass: From Beginner to Advanced,40,8059,231,0.03,2.0
Build Flat Responsive Website from Scratch - Complete Course,35,12105,144,0.01,7.5
Wordpress for Beginners - Build a Live Website from Scratch,20,3877,92,0.02,1.5
"Essential JavaScript, jQuery and AngularJS Training",30,2919,136,0.05,7.0
The Pro Ruby on Rails Starter,45,2409,90,0.04,2.5
Unit Testing AngularJS: Build Bugfree Apps That Always Work!,25,2083,213,0.1,2.5
WordPress Blog : Create a WordPress Website for Beginners,20,2076,8,0.0,2.0
Introduction to HTML5 Canvas basics of drawing,200,2918,16,0.01,1.0
"Thoughtful Web Development Course: HTML, Vue.js, PHP, MySQL",200,842,144,0.17,25.0
Kids Coding - Beginners CSS,100,7130,30,0.0,1.0
PHP & MySQL - Learn The Easy Way. Master PHP & MySQL Quickly,50,5549,92,0.02,15.5
Learning Path: Magento: Master and Test Magento 2 with Ease,200,155,9,0.06,6.0
The Complete hapiJS Course - Go From Beginner To Advanced!,195,1697,64,0.04,6.0
Ruby On Rails For Web Development,195,2526,185,0.07,5.0
Create eye-catching WordPress website from scratch,30,2342,15,0.01,4.5
Become A Web Developer And Seller - Build Websites With HTML,200,21730,61,0.0,2.5
WordPress Tips and Tricks,200,1117,10,0.01,2.5
HTML Tutorials : HTML Code for Website Creating,20,2401,15,0.01,3.0
Complete HTML5 and CSS3 Course +1 Start to Finish Project,200,3887,81,0.02,8.5
Web Development With HTML CSS BOOTSTRAP JQUERY for Beginners,35,1156,4,0.0,5.0
HTML5 Specialist: Comprehensive HTML5 Training,100,1385,188,0.14,5.0
CSS and CSS3 For Absolute Beginners,75,10890,212,0.02,5.0
Build a Complete JQuery Plugin (Image Pop-up Dialog),20,1126,10,0.01,1.0
How to create HTML Forms,30,3652,60,0.02,40.0
ReactJS and Flux: Learn By Building 10 Projects,60,1723,258,0.15,11.0
How To Make A Business Website In 1 Day With Wix FAST & EASY,20,3759,24,0.01,4.0
PHP Date and Time Course by Edwin Diaz,40,1653,53,0.03,1.5
Start Your Own Forum Website in 15 Minutes ,40,5387,38,0.01,1.0
Hit the ground running with AngularJS with Dion Yang,100,4563,49,0.01,1.5
Learn CSS Transition and Animation ,100,3757,28,0.01,1.0
Learn JavaScript from scratch,20,4193,92,0.02,2.5
WordPress for Beginners - Tutorial - From Novice to Know-How,20,3694,48,0.01,4.0
RESTful API with Laravel,45,1905,228,0.12,6.0
Learn Ruby on Rails for Absolute Beginners,195,2875,20,0.01,4.5
JavaScript Tutorial,180,613,93,0.15,4.5
Shopping Cart Website from Scratch Ecommerce,200,633,39,0.06,4.0
Learn By Example: Angular JS,50,1515,32,0.02,7.0
The Complete front end web developer Bootcamp - 14 projects,200,900,129,0.14,18.5
WordPress LMS: E-Learning Website Made Easy,20,2382,22,0.01,1.5
Create An HTML5 Video Player From Scratch,Free,32260,1005,0.03,1.5
In Depth Web Development Made Easy,25,3249,27,0.01,6.5
Jquery :basics for beginners,50,1274,34,0.03,40.0
Web Development By Doing: HTML / CSS From Scratch,Free,72932,2575,0.04,1.0
Build Your First Website in 1 Week with HTML5 and CSS3,Free,120291,5924,0.05,3.0
"ASP.NET Core MVC, Quick and Practical",20,387,5,0.01,2.5
Better way towards CSS using Less and Sass,20,2227,44,0.02,1.5
JavaScript Complete for beginners with real world Apps,120,2652,33,0.01,3.5
Creating a Responsive HTML Email,20,2520,183,0.07,1.5
Angular 2 Demystified,20,3150,69,0.02,3.5
Learn HTML Fast and Easy!,20,4011,24,0.01,1.5
How To Setup a Micro-Blog in 3 Easy Steps,25,6937,22,0.0,1.0
Ruby on Rails for Complete Beginners,35,4839,129,0.03,4.0
Wordpress for Non-Technical People,150,2346,10,0.0,4.5
ASP NET CORE - ANGULAR 2 E-Commerce App,200,897,129,0.14,13.0
Introductory JavaScript Made Easy Training Tutorial,20,9381,138,0.01,11.0
Become a Heroku Rails Ninja: Expert Level Deployment Tools,50,7090,52,0.01,8.5
Complete RESPONSIVE Website Design with HTML5 & CSS3,20,2204,6,0.0,9.0
Pimcore Developer: Implement a Blog from a Bootstrap Theme,95,1212,15,0.01,4.5
Inspirational Web Development - A Beginner Approach -,20,5328,47,0.01,3.5
"Learn HTML, A practical guide from scratch to HTML 5",100,5715,52,0.01,3.0
JavaScript Tutorial: Learn JavaScript Code for Beginners,20,2074,14,0.01,1.5
Website Secrets: Get a Gorgeous Website on the Cheap,50,12328,15,0.0,2.0
Ultimate WordPress Plugin Course,100,4537,415,0.09,9.0
PHP for Beginners: How to Build an E-Commerce Store,100,5117,463,0.09,14.5
"Build Realtime Apps | React Js, Golang & RethinkDB",60,3854,482,0.13,3.0
"Master Electron: Desktop Apps using HTML, JavaScript & CSS",165,1902,224,0.12,5.5
The Complete Web Developer Masterclass: Beginner To Advanced,195,37141,1813,0.05,51.0
Mastering Micro Services Using Java Spring Boot,195,1649,34,0.02,2.0
How to Create A Website: An HTML Tutorial and CSS Tutorial,65,3012,260,0.09,32.5
The Advanced Web Developer Course,100,6890,99,0.01,10.5
Projects in MongoDB - Learn MongoDB Building Projects,50,4628,247,0.05,12.0
Learning JavaScript Programming Tutorial. A Definitive Guide,50,17113,380,0.02,9.5
"The Complete JavaScript, HTML and CSS Tutorial For Beginners",35,244,44,0.18,3.0
"Build Modern Responsive Website With HTML5, CSS3 & Bootstrap",195,1472,210,0.14,13.0
The Complete JavaScript Course For Web Development Beginners,195,31499,450,0.01,4.0
Email Marketing: Send Unlimited Emails via Own Mail Server,35,3539,43,0.01,1.0
Getting started with JavaScript,200,1415,17,0.01,1.5
Learn the basics of the Web development: Coding Tactics,40,2965,17,0.01,2.0
RESTful API with Laravel 5.4: Definitive Guide,145,655,95,0.15,12.5
Learn AngularJS Step By Step,20,18777,1112,0.06,1.5
Learn React : The World's Most Lucrative JavaScript Library,50,1591,99,0.06,9.5
Master Regular Expressions from scratch - All languages,70,1925,27,0.01,2.0
Try AngularJS: Beginner's Guide to Front End Web Development,50,16926,126,0.01,4.5
JavaScript Step by Step how to apply it to your web pages,100,13406,78,0.01,1.5
Explore JavaScript Beginners Guide to Coding JavaScript,200,5739,26,0.0,2.5
Learn Web Scraping with Node.js,75,16731,137,0.01,1.0
Getting Started with WordPress 2016,20,1613,21,0.01,1.0
Learn HTML5 Programming From Scratch,Free,268923,8629,0.03,10.5
Getting Started with LESS - Beginner Crash Course,25,1780,69,0.04,1.5
Master ECMAScript 2015 (ES6),Free,7438,441,0.06,2.5
Learn to Setup Websites from Scratch,Free,21087,154,0.01,3.5
Create Fast RESTful APIs with Lumen and Homestead by Laravel,60,1157,105,0.09,3.0
"Build Modern Websites Quick With HTML,CSS and Bootstrap",20,912,17,0.02,4.5
Twitter Integration customize Tweets with developer API,115,2039,7,0.0,1.0
Build a Responsive Website with a Modern Flat Design,Free,16527,354,0.02,2.0
The Ultimate WordPress Boot Camp: Build 7 Websites,125,1000,74,0.07,11.0
Master the Basics of HTML5 & CSS3: Beginner Web Development,Free,26541,750,0.03,3.0
Become A Full Stack Web Developer in 14 Days,195,467,20,0.04,13.5
Projects In ReactJS - The Complete React Learning Course,50,947,108,0.11,8.0
Beginning Web development Learn the basics of HTML,95,9832,71,0.01,2.0
Step by Step Build Your Template by Bootstrap 4 from scratch,80,2184,15,0.01,3.0
Hosting your static website on Amazon AWS S3 service,20,2853,47,0.02,1.5
JavaScript Rockstar How to create Incredible Useful code,75,16590,51,0.0,2.5
Spring Core DevOps on AWS,100,1626,115,0.07,6.5
How to Create a Website Without Coding - WordPress 2016,195,9056,96,0.01,1.5
PHP Graphic Techniques: CAPTCHA/ Create a verification code,20,8320,73,0.01,43.0
Introductory To HTML and CSS,50,4106,112,0.03,1.0
Learn how to convert PSD to HTML and CSS responsive,30,5324,52,0.01,2.5
PHP User Login Registration Script With All Features,200,5603,46,0.01,4.0
AJAX : Let's build a COOL project,70,4183,292,0.07,3.5
Advanced WordPress Topics: Post Types Taxonomies & Metaboxes,95,301,44,0.15,7.5
Laravel Homestead,Free,3883,110,0.03,1.0
The Complete TypeScript Programming Guide for Web Developers,40,236,31,0.13,4.0
JavaScript with BackboneJS and Bootstrap CSS - Advanced,25,1758,37,0.02,3.5
Ruby on Rails Tutorial: Learn 6 Ruby on Rails SEO Techniques,200,1266,16,0.01,2.0
XML DOM :basics for beginners,35,920,1,0.0,42.0
Learn HTML Basics From Scratch,Free,5004,52,0.01,3.0
Byte-Sized-Chunks: Dynamic Prototypes in Javascript,20,880,6,0.01,3.0
Build Websites from Scratch with Squarespace,50,342,53,0.15,3.5
Introduction to web programming for GIS applications,100,205,38,0.19,13.5
Java Spring Security,40,527,63,0.12,2.5
Responsive Html5 Theme Development,20,1517,4,0.0,1.0
Whatâ€™s New in Bootstrap 4,20,130,14,0.11,37.0
ReactJS Course: Learn JavaScript Library Used by Facebook&IG,50,1018,33,0.03,3.0
Building a Ruby on Rails Application with Neo4j,Free,4830,38,0.01,32.0
Sara Learns to Code.  Making an App from Scratch,60,402,20,0.05,4.0
Ajax  for Beginners: A Very Basic Introduction,65,755,5,0.01,2.0
