Country Name,Country Code,2012,2013,2014
Papua New Guinea,PNG,5.400000095,5.5,5.400000095
Poland,POL,26.39999962,27.20000076,24
Pre-demographic dividend,PRE,13.96399871,13.9281007,13.97984133
Puerto Rico,PRI,27.39999962,28.10000038,27.79999924
"Korea, Dem. People’s Rep.",PRK,10.69999981,10.60000038,10.60000038
Portugal,PRT,37.59999847,37.79999924,36.79999924
Paraguay,PRY,10.39999962,10.5,9.300000191
Post-demographic dividend,PST,18.01824685,17.89016227,17.19878334
Qatar,QAT,1.600000024,1.200000048,1.299999952
Romania,ROU,22.79999924,23.79999924,25.10000038
Russian Federation,RUS,15,14.10000038,12.89999962
Rwanda,RWA,0.699999988,0.699999988,0.699999988
South Asia,SAS,10.27067436,10.18971664,10.25114911
Saudi Arabia,SAU,28,28.70000076,29.5
Sudan,SDN,22.70000076,23,23.29999924
Senegal,SEN,12.30000019,13,13
Singapore,SGP,9,9,9.600000382
Solomon Islands,SLB,9.300000191,9.399999619,9.5
Sierra Leone,SLE,5,4.900000095,4.900000095
El Salvador,SLV,11.89999962,11.19999981,11.69999981
Somalia,SOM,10.5,10.60000038,10.60000038
Serbia,SRB,50.59999847,49.70000076,49.5
Sub-Saharan Africa (excluding high income),SSA,14.50369884,14.05060419,14.12429974
Sub-Saharan Africa,SSF,14.50369884,14.05060419,14.12429974
Small states,SST,23.13758557,23.47112157,23.19441722
Suriname,SUR,17.39999962,15.5,17.89999962
Slovak Republic,SVK,33.90000153,33.5,31.10000038
Slovenia,SVN,20.60000038,22.79999924,20.79999924
Sweden,SWE,24.20000076,23.79999924,22.79999924
Swaziland,SWZ,42,42,42.59999847
Syrian Arab Republic,SYR,33.70000076,32.40000153,30.10000038
Chad,TCD,10.60000038,10.69999981,10.5
East Asia & Pacific (IDA & IBRD countries),TEA,10.89372738,11.52289643,11.8060541
Europe & Central Asia (IDA & IBRD countries),TEC,18.67570559,18.28437104,17.97349256
Togo,TGO,10.69999981,10.69999981,10.69999981
Thailand,THA,3.099999905,3.200000048,3.900000095
Tajikistan,TJK,15.39999962,15.69999981,15.5
Turkmenistan,TKM,20.70000076,20.60000038,20.20000076
Latin America & the Caribbean (IDA & IBRD countries),TLA,13.70704996,13.39182653,14.04106929
Middle East & North Africa (IDA & IBRD countries),TMN,30.80394975,31.10587728,31.52178768
Timor-Leste,TLS,13.39999962,13.39999962,14
South Asia (IDA & IBRD),TSA,10.27067436,10.18971664,10.25114911
Sub-Saharan Africa (IDA & IBRD countries),TSS,14.50369884,14.05060419,14.12429974
Trinidad and Tobago,TTO,12.39999962,9.100000382,10.60000038
Tunisia,TUN,32.79999924,31.29999924,31.79999924
Turkey,TUR,17.10000038,16.5,17.70000076
Tanzania,TZA,6,5.300000191,5.5
Uganda,UGA,7.400000095,7.400000095,6.800000191
Ukraine,UKR,17.29999924,16,16.89999962
Upper middle income,UMC,13.99281199,14.08622741,14.58100923
Uruguay,URY,18.5,18.10000038,19.10000038
United States,USA,16.5,15.80000019,14
Uzbekistan,UZB,20.60000038,20.5,20.29999924
"Venezuela, RB",VEN,17.10000038,14.80000019,17.10000038
Vietnam,VNM,5,6.300000191,6.300000191
West Bank and Gaza,PSE,37.29999924,38.70000076,42.70000076
World,WLD,13.87429289,13.90383191,13.9871842
"Yemen, Rep.",YEM,30.20000076,30.20000076,29.89999962
South Africa,ZAF,52.20000076,51.40000153,52.59999847
"Congo, Dem. Rep.",COD,12.30000019,12.19999981,11.89999962
Zambia,ZMB,26.60000038,25.5,25.10000038
Zimbabwe,ZWE,8.300000191,8.899999619,9.399999619
